编号,步骤,item编号,检查状态,检查条件,中文描述,中文语音,英文描述,英文语音
m_index,m_step,m_id,m_state,m_condition,m_ch_txt,m_ch_voice,m_en_txt,m_en_voice
1,1,1002,300,,检查燃气机1的进气压力表1、2滤气前压力值是否在3巴,debug_s9_step_c_ 1,,
2,1,1003,300,,,,,
3,2,1009,on,,取下压阀护罩，打开调压阀球阀的同时拉下调压阀杆,debug_s9_step_c_ 2,,
4,2,1010,1,,,,,
5,2,1011,on,,,,,
6,2,1008,off,light,,,,
7,3,1008,on,,装入调压阀护罩,debug_s9_step_c_ 3,,
8,4,1004,100|350,,检查燃气机1的进气压力表3滤气前压力值在100到350毫巴之间,debug_s9_step_c_ 4,,
9,5,1102,300,,检查燃气机2的进气压力表1、2滤气前压力值是否在3巴,debug_s9_step_c_ 5,,
10,5,1103,300,,,,,
11,6,1109,on,,取下压阀护罩，打开调压阀球阀的同时拉下调压阀杆,debug_s9_step_c_ 6,,
12,6,1110,1,,,,,
13,6,1111,on,,,,,
14,6,1108,off,light,,,,
15,7,1108,on,,装入调压阀护罩,debug_s9_step_c_ 7,,
16,8,1104,100|350,,检查燃气机2的进气压力表3滤气前压力值在100到350毫巴之间,debug_s9_step_c_ 8,,
17,9,1202,300,,检查燃气机3的进气压力表1、2滤气前压力值是否在3巴,debug_s9_step_c_ 9,,
18,9,1203,300,,,,,
19,10,1209,on,,取下压阀护罩，打开调压阀球阀的同时拉下调压阀杆,debug_s9_step_c_ 10,,
20,10,1210,1,,,,,
21,10,1211,on,,,,,
22,10,1208,off,light,,,,
23,11,1208,on,,装入调压阀护罩,debug_s9_step_c_ 11,,
24,12,1204,100|350,,检查燃气机3的进气压力表3滤气前压力值在100到350毫巴之间,debug_s9_step_c_ 12,,
