编号,item编号,预设状态
m_step,m_id,m_state
1,1033,48
2,1034,3
3,1035,5
4,1032,on
5,1030,on
6,1031,on
7,417,off
8,1018,1
9,1017,on
10,1117,on
11,1217,on
12,409,on
13,414,0
14,415,0
15,509,on
16,514,0
17,515,0
18,609,on
19,614,0
20,615,0
21,709,on
22,714,0
23,715,0
24,1027,0
25,1028,0
26,1127,0
27,1128,0
28,1227,0
29,1228,0
30,1020,0
31,1021,0
32,1023,0
33,1024,0
34,1027,0
35,1028,0
36,1029,0
37,1120,0
38,1121,0
39,1123,0
40,1124,0
41,1127,0
42,1128,0
43,1129,0
44,1220,0
45,1221,0
46,1223,0
47,1224,0
48,1227,0
49,1228,0
50,1229,0
