编号,item编号,预设状态
m_step,m_id,m_state
1,100,leve1
2,101,rand
3,102,rand
4,103,rand
5,104,rand
6,105,rand
7,106,2
8,107,off
9,108,rand
10,408,off
11,409,off
12,508,off
13,509,off
14,608,off
15,609,off
16,708,off
17,709,off
18,3101,150
19,3102,2250
20,3103,0.5
21,3104,2.5
22,3105,2.5
23,3106,50000
24,3107,0.5
25,3108,on
26,3109,off
27,3110,on
28,3111,off
29,3112,on
30,3113,off
31,3114,50
32,3115,50000
33,3116,150
34,3117,on
35,3118,125
36,3119,750
37,3120,750
38,3121,1700
39,3122,100
40,3123,100
41,3124,100
42,3125,100
43,3126,25000
44,3127,100
45,3128,100
46,3129,100
47,3130,100
48,3131,100
49,3132,on
50,3133,on
51,3134,5000
52,3135,150
53,3136,on
54,3137,off
55,3138,on
56,3139,off
57,3140,on
58,3141,off
59,3142,50000
60,3143,off
