编号,步骤,item编号,检查状态,检查条件,中文描述,中文语音,英文描述,英文语音
m_index,m_step,m_id,m_state,m_condition,m_ch_txt,m_ch_voice,m_en_txt,m_en_voice
1,1,4005,havepart,,拿起吸入阀阀座放入到机器上的黄色指示点，然后拖动零件到正确位置,debug_s41_step_c 1,,
2,2,4004,havepart,,拿起吸入阀弹簧放入到机器上的黄色指示点，然后拖动零件到正确位置,debug_s41_step_c 2,,
3,3,4003,havepart,,拿起吸入阀弹簧压板放入到机器上的黄色指示点，然后拖动零件到正确位置,debug_s41_step_c 3,,
4,4,4010,90,,使用T型工具，旋转弹簧压板九十度,debug_s41_step_c 4,,
5,4,4011,2,light,,,,
6,5,4011,0,,取出T型工具，碰触工具一段时间后可以取出,debug_s41_step_c 5,,
7,6,4002,havepart,,拿起吸入阀压盖放入到机器上的黄色指示点，然后拖动零件到正确位置,debug_s41_step_c 6,,
8,7,4001,havepart,,拿起吸入阀压帽放入到机器上的黄色指示点，然后找到大内六角工具顺时针旋转压帽,debug_s41_step_c 7,,
9,7,4009,2,light,,,,
10,8,4009,0,,取出大内六角工具，碰触工具一段时间后可以取出工具,debug_s41_step_c 8,,
