编号,item编号,预设状态
m_step,m_id,m_state
1,111,off
2,112,rand
3,113,rand
4,114,rand
5,115,rand
6,116,rand
7,117,rand
8,118,off
9,1302,off
10,1304,0
11,1305,0
12,1402,off
13,1404,0
14,1405,0
15,1502,off
16,1504,0
17,1505,0
18,1602,off
19,1604,0
20,1605,0
21,1702,off
22,1704,0
23,1705,0
24,1802,off
25,1803,0
26,1804,0
27,2002,off
28,2004,0
29,2005,0
30,2202,off
31,2204,0
32,2205,0
33,120,off
34,121,off
35,122,off
36,123,off
37,124,off
38,125,off
39,126,off
40,127,off
41,413,off
42,513,off
43,613,off
44,713,off
45,305,off
46,405,off
47,505,off
48,605,off
49,705,off
50,103,0
51,104,0
52,105,0
53,408,off
54,409,off
55,508,off
56,509,off
57,608,off
58,609,off
59,708,off
60,709,off
