编号,步骤,item编号,检查状态,检查条件,中文描述,中文语音,英文描述,英文语音
m_index,m_step,m_id,m_state,m_condition,m_ch_txt,m_ch_voice,m_en_txt,m_en_voice
1,1,111,on,,链接熔断器，查看s3屏幕上参数是否正确，电池参数电压为243伏，电流为0安，控母电压为225伏，电流为0.3安，并且控母电压表电压为243伏，直流电流为0安,debug_s2_step_c_ 1,,bg
2,1,112,243,,,,,bg
3,1,113,0,,,,,bg
4,1,114,225,,,,,bg
5,1,115,0.3,,,,,bg
6,1,116,243,,,,,bg
7,1,117,0,,,,,bg
8,2,118,on,,合并断路器2QF，辅助400伏电源是否得电,debug_s2_step_c_ 2,,bg
9,2,1602,on,,,,,
10,2,1702,on,,,,,
11,2,1802,on,,,,,
12,2,2002,on,,,,,
13,2,2202,on,,,,,
14,3,120,on,,合并控母电源一号，二号，三号，查看高压室开关控制柜电源是否得电,debug_s2_step_c_ 3,,bg
15,3,121,on,,,,,bg
16,3,122,on,,,,,bg
17,3,1302,on,,,,,bg
18,3,1402,on,,,,,
19,3,1502,on,,,,,
20,4,124,on,,合并控母电源四号，查看燃机控制柜综合测量模块是否得电,debug_s2_step_c_ 4,,bg
21,4,413,on,,,,,
22,4,513,on,,,,,
23,4,613,on,,,,,
24,4,713,on,,,,,bg
25,5,126,on,,合并24伏电源断路器，查看市电及燃机控制柜进线电源是否接通,debug_s2_step_c_ 5,,bg
26,5,305,on,,,,,bg
27,5,405,on,,,,,bg
28,5,505,on,,,,,bg
29,5,605,on,,,,,bg
30,5,705,on,,,,,bg
