编号,item编号,预设状态
m_step,m_id,m_state
1,1302,on
2,2302,0
3,1310,off
4,304,off
5,305,on
6,306,off
7,307,off
8,308,off
9,309,off
10,310,on
11,311,off
12,312,0
13,313,off
14,314,off
15,315,off
16,316,off
17,317,off
18,318,off
19,319,off
20,320,off
21,321,off
22,322,off
23,1304,2
24,1305,2
25,1402,on
26,1404,2
27,1405,2
28,1502,on
29,1504,2
30,1505,2
31,1602,on
32,1604,2
33,1605,2
34,1702,on
35,1704,2
36,1705,2
37,1802,on
38,1803,2
39,1804,2
40,2002,on
41,2004,2
42,2005,2
43,2202,on
44,2204,2
45,2205,2
46,1303,on
47,1403,on
48,1503,on
