编号,步骤,item编号,检查状态,检查条件,中文描述,中文语音,英文描述,英文语音
m_index,m_step,m_id,m_state,m_condition,m_ch_txt,m_ch_voice,m_en_txt,m_en_voice
1,1,203,on,,查看mcc控制电源断路器是否合上。如果没有合上？请合上断路器,debug_s15_step_c_ 1,,
2,1,202,on,light,,,,
3,2,204,on,,打开MCC柜QF5QF6QF7断路器,debug_s3_step_c_ 2,,
4,2,205,on,,,,,
5,2,206,on,,,,,
6,3,231,2,light,如果mcc柜屉的灯还没有点亮。那么可能是抽屉内的熔断器烧坏。需要抽出抽屉检查。当1号发电机A散热风机的总控制开关拨动箭头向下才能抽出抽屉,debug_s15_step_c_ 2,,
7,4,238,off,light,抽出MCC抽屉1号A组的抽屉,debug_s15_step_c_ 3,,
8,5,240,0,,熔断器变黑。说明已经坏掉，需要更换。拿出坏的熔断器,debug_s15_step_c_ 4,,
9,6,241,2,,在工具箱找到新的熔断器。放入到需要更换熔断器的抽屉,debug_s15_step_c_ 5,,
10,7,238,on,,推入MCC抽屉1号A组的抽屉,debug_s15_step_c_ 6,,
11,8,231,1,,把1号发电机A散热风机的总控制开关拨动箭头向上,debug_s15_step_c_ 7,,
