编号,步骤,item编号,检查状态,检查条件,中文描述,中文语音,英文描述,英文语音
m_index,m_step,m_id,m_state,m_condition,m_ch_txt,m_ch_voice,m_en_txt,m_en_voice
1,1,1030,on,,请打开1号燃气机的缸套水加热器电源，为缸套水加热，实际过程会持续较长时间，场景中加速进行,debug_s12_step_c_ 1,,
2,2,1031,on,,请打开1号燃气机的控制箱充电电源，为蓄电池充电，实际过程会持续较长时间，场景中加速进行,debug_s12_step_c_ 2,,
3,3,417,off,,请在1号电控房里找到对应的1号发电机控制柜，旋转控制柜上本地，远程旋钮到远程状态，实际过程会持续较长时间，场景中加速进行,debug_s12_step_c_ 3,,
4,4,1130,on,,请打开2号燃气机的缸套水加热器电源，为缸套水加热，实际过程会持续较长时间，场景中加速进行,debug_s12_step_c_ 4,,
5,5,1131,on,,请打开2号燃气机的控制箱充电电源，为蓄电池充电，实际过程会持续较长时间，场景中加速进行,debug_s12_step_c_ 5,,
6,6,517,off,,请在1号电控房里找到对应的2号发电机控制柜，旋转控制柜上本地，远程旋钮到远程状态，实际过程会持续较长时间，场景中加速进行,debug_s12_step_c_ 6,,
7,7,1230,on,,请打开3号燃气机的缸套水加热器电源，为缸套水加热，实际过程会持续较长时间，场景中加速进行,debug_s12_step_c_ 7,,
8,8,1231,on,,请打开3号燃气机的控制箱充电电源，为蓄电池充电，实际过程会持续较长时间，场景中加速进行,debug_s12_step_c_ 8,,
9,9,617,off,,请在1号电控房里找到对应的3号发电机控制柜，旋转控制柜上本地，远程旋钮到远程状态，实际过程会持续较长时间，场景中加速进行,debug_s12_step_c_ 9,,
10,10,1033,43|53,,请查看1号燃气机的缸套水温是否高于43摄氏度，蓄电池电压是否高于24伏，预润滑油泵压力是否大于0,debug_s12_step_c_ 10,,
11,10,1034,24|27,,,,,
12,10,1035,1|10,,,,,
13,10,1037,on,light,,,,
14,11,1133,43|53,,请查看2号燃气机的缸套水温是否高于43摄氏度，蓄电池电压是否高于24伏，预润滑油泵压力是否大于0,debug_s12_step_c_ 11,,
15,11,1134,24|27,,,,,
16,11,1135,1|10,,,,,
17,11,1137,on,light,,,,
18,12,1233,43|53,,请查看3号燃气机的缸套水温是否高于43摄氏度，蓄电池电压是否高于24伏，预润滑油泵压力是否大于0,debug_s12_step_c_ 12,,
19,12,1234,24|27,,,,,
20,12,1235,1|10,,,,,
21,12,1237,on,light,,,,
