编号,步骤,item编号,检查状态,检查条件,中文描述,中文语音,英文描述,英文语音
m_index,m_step,m_id,m_state,m_condition,m_ch_txt,m_ch_voice,m_en_txt,m_en_voice
1,1,1012,on,,控制1号燃机发电机的电源钥匙，顺时针旋转到开启档位上,debug_s6_step_c_ 1,,
2,2,1013,on,,1号燃机发电机的电源转接箱1号，2号，3号，4号拨码开关向上拨动到开启位置,debug_s6_step_c_ 2,,
3,2,1014,on,,,,,
4,2,1015,on,,,,,
5,2,1016,on,,,,,
6,3,1018,1,,1号燃气机控制选择开关指向stop位置,debug_s6_step_c_ 3,,
7,4,1019,on,,1号燃气机怠速、额定选择开关旋转到怠速档位,debug_s6_step_c_ 4,,
8,5,1112,on,,控制2号燃机发电机的电源钥匙，顺时针旋转到开启档位上,debug_s6_step_c_ 5,,
9,6,1113,on,,2号燃机发电机的电源转接箱1号，2号，3号，4号拨码开关向上拨动到开启位置,debug_s6_step_c_ 6,,
10,6,1114,on,,,,,
11,6,1115,on,,,,,
12,6,1116,on,,,,,
13,7,1118,1,,2号燃气机控制选择开关指向stop位置,debug_s6_step_c_ 7,,
14,8,1119,on,,2号燃气机怠速、额定选择开关旋转到怠速档位,debug_s6_step_c_ 8,,
15,9,1212,on,,控制3号燃机发电机的电源钥匙，顺时针旋转到开启档位上,debug_s6_step_c_ 9,,
16,10,1213,on,,3号燃机发电机的电源转接箱1号，2号，3号，4号拨码开关向上拨动到开启位置,debug_s6_step_c_ 10,,
17,10,1214,on,,,,,
18,10,1215,on,,,,,
19,10,1216,on,,,,,
20,11,1218,1,,3号燃气机控制选择开关指向stop位置,debug_s6_step_c_ 11,,
21,12,1219,on,,3号燃气机怠速、额定选择开关旋转到怠速档位,debug_s6_step_c_ 12,,
