编号,步骤,item编号,检查状态,检查条件,中文描述,中文语音,英文描述,英文语音
m_index,m_step,m_id,m_state,m_condition,m_ch_txt,m_ch_voice,m_en_txt,m_en_voice
1,1,5025,5025&5032&2.5&hard&yellow,,连接A相电压信号Ua：A相电压互感器a至接线盒A相电压槽，电线使用2.5平方毫米，黄色单芯线,debug_s43_step_c 01,,
2,1,5032,5025&5032&2.5&hard&yellow,,,,,
3,2,5028,5028&5033&2.5&hard&green,,连接B相电压信号Ub：A相电压互感器b至接线盒B相电压槽，电线使用2.5平方毫米，绿色单芯线,debug_s43_step_c 02,,
4,2,5033,5028&5033&2.5&hard&green,light,,,,
5,3,5029,5029&5035&2.5&hard&red,,连接C相电压信号Uc：C相电压互感器b至接线盒C相电压槽，电线使用2.5平方毫米，红色单芯线,debug_s43_step_c 03,,
6,3,5035,5029&5035&2.5&hard&red,,,,,
7,4,5033,5028&5033&2.5&hard&green&5033&5034&4&hard&blue,,连接A相电压、C相电压互感器接地线PE：A相电压互感器b至接C相电压互感器a，电线使用4平方毫米，蓝色单芯线,debug_s43_step_c 04,,
8,4,5034,5033&5034&4&hard&blue,light,,,,
9,5,5034,5033&5034&4&hard&blue&5034&5036&4&hard&blue,,C相电压互感器a至接地铜排，电线使用4平方毫米，蓝色单芯线,debug_s43_step_c 05,,
10,5,5036,5034&5036&4&hard&blue,,,,,
11,6,5002,5002&5015&2.5&hard&yellow,,连接电表A相电压信号Ua：接线盒A相电压槽至电表2#接点，电线使用2.5平方毫米，黄色单芯线,debug_s43_step_c 06,,
12,6,5015,5002&5015&2.5&hard&yellow,,,,,
13,7,5009,5009&5016&2.5&hard&yellow,,连接采集终端A相电压信号Ua：接线盒A相电压槽至电表2#接点，电线使用2.5平方毫米，黄色单芯线,debug_s43_step_c 07,,
14,7,5016,5009&5016&2.5&hard&yellow,,,,,
15,8,5004,5004&5019&2.5&hard&green,,连接电表B相电压信号Ub：接线盒B相电压槽至电表5#接点，电线使用2.5平方毫米，绿色单芯线,debug_s43_step_c 08,,
16,8,5019,5004&5019&2.5&hard&green,,,,,
17,9,5011,5011&5020&2.5&hard&green,,连接采集终端B相电压信号Ub：接线盒B相电压槽至电表5#接点，电线使用2.5平方毫米，绿色单芯线,debug_s43_step_c 09,,
18,9,5020,5011&5020&2.5&hard&green,,,,,
19,10,5006,5006&5021&2.5&hard&red,,连接电表C相电压信号Uc：接线盒C相电压槽至电表8#接点，电线使用2.5平方毫米，红色单芯线,debug_s43_step_c 10,,
20,10,5021,5006&5021&2.5&hard&red,,,,,
21,11,5013,5013&5022&2.5&hard&red,,连接采集终端C相电压信号Uc：接线盒C相电压槽至电表8#接点，电线使用2.5平方毫米，红色单芯线,debug_s43_step_c 11,,
22,11,5022,5013&5022&2.5&hard&red,,,,,
23,12,5026,5026&5037&4&hard&yellow,,连接表A相电流信号Ia：A相电流互感器1S1至接线盒A相电流槽，电线使用4平方毫米，黄色单芯线,debug_s43_step_c 12,,
24,12,5037,5026&5037&4&hard&yellow,,,,,
25,13,5027,5027&5038&4&hard&yellow,,连接采集终端A相电流信号Ian：A相电流互感器1S2至接线盒A相电流槽，电线使用4平方毫米，黄色单芯线,debug_s43_step_c 13,,
26,13,5038,5027&5038&4&hard&yellow,light,,,,
27,14,5030,5030&5040&4&hard&red,,连接表C相电流信号Ic：C相电流互感器1S1至接线盒C相电流槽，电线使用4平方毫米，红色单芯线,debug_s43_step_c 14,,
28,14,5040,5030&5040&4&hard&red,,,,,
29,15,5031,5031&5041&4&hard&red,,连接采集终端C相电流信号Icn：C相电流互感器1S2至接线盒C相电流槽，电线使用4平方毫米，红色单芯线,debug_s43_step_c 15,,
30,15,5041,5031&5041&4&hard&red,light,,,,
31,16,5038,5027&5038&4&hard&yellow&5038&5039&4&hard&blue,,连接表A相电流、C相电流互感器接地线PE：A相电流互感器1S2至接地点，电线使用4平方毫米，蓝色单芯线,debug_s43_step_c 16,,
32,16,5039,5038&5039&4&hard&blue,light,,,,
33,17,5041,5031&5041&4&hard&red&5039&5041&4&hard&blue,,C相电流互感器1S2至接地点，电线使用4平方毫米，蓝色单芯线,debug_s43_step_c 17,,
34,17,5039,5038&5039&4&hard&blue&5039&5041&4&hard&blue,,,,,
35,18,5001,5001&5017&4&hard&yellow,,连接表A相电流信号Ia：接线盒A相电流槽至电表1#接点，电线使用4平方毫米，黄色单芯线,debug_s43_step_c 18,,
36,18,5017,5001&5017&4&hard&yellow,,,,,
37,19,5003,5003&5008&4&hard&yellow,,连接A相电流信号Ia：电表3#接点至终端1#接点，电线使用4平方毫米，黄色单芯线,debug_s43_step_c 19,,
38,19,5008,5003&5008&4&hard&yellow,,,,,
39,20,5010,5010&5018&4&hard&yellow,,连接A相电流信号Ian：终端3#接点至接线盒A相电流槽，电线使用4平方毫米，黄色单芯线,debug_s43_step_c 20,,
40,20,5018,5010&5018&4&hard&yellow,,,,,
41,21,5005,5005&5023&4&hard&red,,连接表C相电流信号Ic：接线盒C相电流槽至电表7#接点，电线使用4平方毫米，红色单芯线,debug_s43_step_c 21,,
42,21,5023,5005&5023&4&hard&red,,,,,
43,22,5007,5007&5012&4&hard&red,,连接采集终端C相电流信号Ia：电表9#接点至终端7#接点，电线使用4平方毫米，红色单芯线,debug_s43_step_c 22,,
44,22,5012,5007&5012&4&hard&red,,,,,
45,23,5014,5014&5024&4&hard&red,,连接C相电流信号Ian：终端9#接点至接线盒C相电流槽，电线使用4平方毫米，红色单芯线,debug_s43_step_c 23,,
46,23,5024,5014&5024&4&hard&red,,,,,
