编号,item编号,预设状态
m_step,m_id,m_state
1,5001,1
2,5002,1
3,5003,1
4,5004,1
5,5005,1
6,5006,1
7,5007,1
8,5008,1
9,5009,1
10,5010,1
11,5011,1
12,5012,1
13,5013,1
14,5014,1
15,5015,1
16,5016,1
17,5017,1
18,5018,1
19,5019,1
20,5020,1
21,5021,1
22,5022,1
23,5023,1
24,5024,1
25,5025,1
26,5026,1
27,5027,1
28,5028,1
29,5029,1
30,5030,1
31,5031,1
32,5032,1
33,5033,1
34,5034,1
35,5035,1
36,5036,1
37,5037,1
38,5038,1
39,5039,1
40,5040,1
41,5041,1
42,5300,off
43,5301,off
44,5302,off
45,5303,off
46,5304,off
47,5305,off
48,5306,off
49,5307,off
50,5308,off
51,5309,off
52,5310,off
53,5101,1
54,5102,1
55,5103,1
56,5104,1
57,5105,1
58,5106,1
59,5107,1
60,5108,1
61,5109,1
62,5110,1
63,5111,1
64,5112,1
65,5113,1
66,5114,1
67,5115,1
68,5116,1
69,5117,1
70,5118,1
71,5119,1
72,5120,1
73,5121,1
74,5122,1
75,5123,1
76,5124,1
77,5125,1
78,5126,1
79,5127,1
80,5128,1
81,5129,1
82,5130,1
83,5131,1
84,5132,1
85,5133,1
86,5134,1
87,5135,1
88,5136,1
89,5137,1
90,5138,1
91,5139,1
92,5140,1
93,5141,1
94,5142,1
95,5143,1
96,5144,1
97,5145,1
98,5146,1
99,5147,1
100,5148,1
101,5149,1
102,5150,1
103,5151,1
104,5152,1
105,5153,1
106,5154,1
107,5155,1
