编号,步骤,item编号,检查状态,检查条件,中文描述,中文语音,英文描述,英文语音
m_index,m_step,m_id,m_state,m_condition,m_ch_txt,m_ch_voice,m_en_txt,m_en_voice
1,1,5135,5135&5145&2.5&hard&yellow,,连接A相电压信号Ua：A相铜排至接线盒A相电压槽，电线使用2.5平方毫米，黄色单芯线,debug_s44_step_c 01,,
2,1,5145,5135&5145&2.5&hard&yellow,,,,,
3,2,5138,5138&5146&2.5&hard&green,,连接B相电压信号Ub：B相铜排至接线盒B相电压槽，电线使用2.5平方毫米，绿色单芯线,debug_s44_step_c 02,,
4,2,5146,5138&5146&2.5&hard&green,,,,,
5,3,5141,5141&5147&2.5&hard&red,,连接C相电压信号Uc：C相铜排至接线盒C相电压槽，电线使用2.5平方毫米，红色单芯线,debug_s44_step_c 03,,
6,3,5147,5141&5147&2.5&hard&red,,,,,
7,4,5148,5148&5144&2.5&hard&blue,,连接N相电压：N相铜排至接线盒N相电压槽，电线使用2.5平方毫米，蓝色单芯线,debug_s44_step_c 04,,
8,4,5144,5148&5144&2.5&hard&blue,,,,,
9,5,5110,5110&5133&2.5&hard&blue,,连接电表N相电压：电表N相10#接点至接线盒N相电压槽，电线使用2.5平方毫米，蓝色单芯线,debug_s44_step_c 05,,
10,5,5133,5110&5133&2.5&hard&blue,,,,,
11,6,5120,5120&5134&2.5&hard&blue,,连接采集终端N相电压：采集终端N相10#接点至接线盒N相电压槽，电线使用2.5平方毫米，蓝色单芯线,debug_s44_step_c 06,,
12,6,5134,5120&5134&2.5&hard&blue,,,,,
13,7,5102,5102&5121&2.5&hard&yellow,,连接电表A相电压信号Ua：接线盒A相电压槽至电表2#接点，电线使用2.5平方毫米，黄色单芯线,debug_s44_step_c 07,,
14,7,5121,5102&5121&2.5&hard&yellow,,,,,
15,8,5112,5112&5122&2.5&hard&yellow,,连接采集终端A相电压信号Ua：接线盒A相电压槽至电表2#接点，电线使用2.5平方毫米，黄色单芯线,debug_s44_step_c 08,,
16,8,5122,5112&5122&2.5&hard&yellow,,,,,
17,9,5105,5105&5125&2.5&hard&green,,连接电表B相电压信号Ub：接线盒B相电压槽至电表5#接点，电线使用2.5平方毫米，绿色单芯线,debug_s44_step_c 09,,
18,9,5125,5105&5125&2.5&hard&green,,,,,
19,10,5115,5115&5126&2.5&hard&green,,连接采集终端B相电压信号Ub：接线盒B相电压槽至电表5#接点，电线使用2.5平方毫米，绿色单芯线,debug_s44_step_c 10,,
20,10,5126,5115&5126&2.5&hard&green,,,,,
21,11,5108,5108&5129&2.5&hard&red,,连接电表C相电压信号Uc：接线盒C相电压槽至电表8#接点，电线使用2.5平方毫米，红色单芯线,debug_s44_step_c 11,,
22,11,5129,5108&5129&2.5&hard&red,,,,,
23,12,5118,5118&5130&2.5&hard&red,,连接采集终端C相电压信号Uc：接线盒C相电压槽至电表8#接点，电线使用2.5平方毫米，红色单芯线,debug_s44_step_c 12,,
24,12,5130,5118&5130&2.5&hard&red,,,,,
25,13,5136,5136&5149&4&hard&yellow,,连接电表A相电流信号Ia：A相电流互感器1S1至接线盒A相电流槽，电线使用4平方毫米，黄色单芯线,debug_s44_step_c 13,,
26,13,5149,5136&5149&4&hard&yellow,,,,,
27,14,5101,5101&5123&4&hard&yellow,,连接电表A相电流信号Ia：接线盒A相电流槽至电表1#接点，电线使用4平方毫米，黄色单芯线,debug_s44_step_c 14,,
28,14,5123,5101&5123&4&hard&yellow,,,,,
29,15,5103,5103&5111&4&hard&yellow,,连接电表至采集终端A相电流信号Ia：电表3#接点至终端1#接点，电线使用4平方毫米，黄色单芯线,debug_s44_step_c 15,,
30,15,5111,5103&5111&4&hard&yellow,,,,,
31,16,5113,5113&5124&4&hard&yellow,,连接采集终端至接线盒A相电流信号Ian：终端3#接点至接线盒A相电流槽，电线使用4平方毫米，黄色单芯线,debug_s44_step_c 16,,
32,16,5124,5113&5124&4&hard&yellow,,,,,
33,17,5137,5137&5150&4&hard&yellow,,连接接线盒至电流互感器A相电流信号Ian：A相电流互感器1S2至接线盒A相电流槽，电线使用4平方毫米，黄色单芯线,debug_s44_step_c 17,,
34,17,5150,5137&5150&4&hard&yellow,light,,,,
35,18,5139,5139&5151&4&hard&yellow,,连接电表B相电流信号Ib：B相电流互感器1S1至接线盒B相电流槽，电线使用4平方毫米，黄色单芯线,debug_s44_step_c 18,,
36,18,5151,5139&5151&4&hard&yellow,,,,,
37,19,5104,5104&5127&4&hard&yellow,,连接电表B相电流信号Ib：接线盒B相电流槽至电表4#接点，电线使用4平方毫米，黄色单芯线,debug_s44_step_c 19,,
38,19,5127,5104&5127&4&hard&yellow,,,,,
39,20,5106,5106&5114&4&hard&yellow,,连接电表至采集终端A相电流信号Ib：电表6#接点至终端4#接点，电线使用4平方毫米，黄色单芯线,debug_s44_step_c 20,,
40,20,5114,5106&5114&4&hard&yellow,,,,,
41,21,5116,5116&5128&4&hard&yellow,,连接采集终端至接线盒B相电流信号Ibn：终端6#接点至接线盒B相电流槽，电线使用4平方毫米，黄色单芯线,debug_s44_step_c 21,,
42,21,5128,5116&5128&4&hard&yellow,,,,,
43,22,5140,5140&5152&4&hard&yellow,,连接接线盒至电流互感器B相电流信号Ibn：B相电流互感器1S2至接线盒B相电流槽，电线使用4平方毫米，黄色单芯线,debug_s44_step_c 22,,
44,22,5152,5140&5152&4&hard&yellow,light,,,,
