编号,步骤,item编号,检查状态,检查条件,中文描述,中文语音,英文描述,英文语音
m_index,m_step,m_id,m_state,m_condition,m_ch_txt,m_ch_voice,m_en_txt,m_en_voice
1,1,2207,on,,电控房1的摇入PT断路器，需要摇动至少10圈以上，听到咔的声音，表示已经合并断路器,debug_s5_step_c_ 1,,
2,2,2302,1,light,取出摇把，手柄碰触摇把持续2秒钟即可取出摇把,debug_s5_step_c_ 2,,
3,3,1310,on,,摇入电控房1的1号燃气发电控制柜的断路器，需要摇动至少10圈以上，听到咔的声音，表示已经合并断路器,debug_s5_step_c_ 3,,
4,4,1303,off,,请把电控房1的1号燃气发电控制柜的选择开关，旋转到远程,debug_s5_step_c_ 4,,
5,5,2302,1,light,取出摇把，手柄碰触摇把持续2秒钟即可取出摇把,debug_s5_step_c_ 5,,
6,6,1410,on,,摇入电控房1的2号燃气发电控制柜的断路器，需要摇动至少10圈以上，听到咔的声音，表示已经合并断路器,debug_s5_step_c_ 6,,
7,7,1403,off,,请把电控房1的2号燃气发电控制柜的选择开关，旋转到远程,debug_s5_step_c_ 7,,
8,8,2302,1,light,取出摇把，手柄碰触摇把持续2秒钟即可取出摇把,debug_s5_step_c_ 8,,
9,9,1510,on,,摇入电控房1的3号燃气发电控制柜的断路器，需要摇动至少10圈以上，听到咔的声音，表示已经合并断路器,debug_s5_step_c_ 9,,
10,10,1503,off,,请把电控房1的3号燃气发电控制柜的选择开关，旋转到远程,debug_s5_step_c_ 10,,
11,11,2302,1,light,取出摇把，手柄碰触摇把持续2秒钟即可取出摇把,debug_s5_step_c_ 11,,
12,12,3002,on,,在2号电控房摇入联络柜给变压器送电,debug_s5_step_c_ 12,,
13,13,2302,1,light,取出摇把，手柄碰触摇把持续2秒钟即可取出摇把,debug_s5_step_c_ 13,,
