编号,步骤,item编号,检查状态,检查条件,中文描述,中文语音,英文描述,英文语音
m_index,m_step,m_id,m_state,m_condition,m_ch_txt,m_ch_voice,m_en_txt,m_en_voice
1,1,1030,on,,请打开1号燃气机的缸套水加热器电源，为缸套水加热，实际过程会持续较长时间，场景中加速进行,debug_s11_step_c_ 1,,
2,2,1031,on,,请打开1号燃气机的控制箱充电电源，为蓄电池充电，实际过程会持续较长时间，场景中加速进行,debug_s11_step_c_ 2,,
3,3,1032,on,,请打开1号燃气机的控制箱预润滑油泵开关，实际过程会持续较长时间，场景中加速进行,debug_s11_step_c_ 3,,
4,4,1130,on,,请打开2号燃气机的缸套水加热器电源，为缸套水加热，实际过程会持续较长时间，场景中加速进行,debug_s11_step_c_ 4,,
5,5,1131,on,,请打开2号燃气机的控制箱充电电源，为蓄电池充电，实际过程会持续较长时间，场景中加速进行,debug_s11_step_c_ 5,,
6,6,1132,on,,请打开2号燃气机的控制箱预润滑油泵开关，实际过程会持续较长时间，场景中加速进行,debug_s11_step_c_ 6,,
7,7,1230,on,,请打开3号燃气机的缸套水加热器电源，为缸套水加热，实际过程会持续较长时间，场景中加速进行,debug_s11_step_c_ 7,,
8,8,1231,on,,请打开3号燃气机的控制箱充电电源，为蓄电池充电，实际过程会持续较长时间，场景中加速进行,debug_s11_step_c_ 8,,
9,9,1232,on,,请打开3号燃气机的控制箱预润滑油泵开关，实际过程会持续较长时间，场景中加速进行,debug_s11_step_c_ 9,,
10,10,1033,43|53,,请查看1号燃气机的缸套水温是否高于43摄氏度，蓄电池电压是否高于24伏，预润滑油泵压力是否大于0,debug_s11_step_c_ 10,,
11,10,1034,24|27,,,,,
12,10,1035,1|10,,,,,
13,11,1133,43|53,,请查看2号燃气机的缸套水温是否高于43摄氏度，蓄电池电压是否高于24伏，预润滑油泵压力是否大于0,debug_s11_step_c_ 11,,
14,11,1134,24|27,,,,,
15,11,1135,1|10,,,,,
16,12,1233,43|53,,请查看3号燃气机的缸套水温是否高于43摄氏度，蓄电池电压是否高于24伏，预润滑油泵压力是否大于0,debug_s11_step_c_ 12,,
17,12,1234,24|27,,,,,
18,12,1235,1|10,,,,,
