编号,步骤,item编号,检查状态,检查条件,中文描述,中文语音,英文描述,英文语音
m_index,m_step,m_id,m_state,m_condition,m_ch_txt,m_ch_voice,m_en_txt,m_en_voice
1,1,2701,on,,合熔断隔离刀闸Q1001,debug_s18_step_c_ 1,,
2,2,2703,1,,合断路器Q1003,debug_s18_step_c_ 2,,
3,3,2715,on,,观察变频传动单元控制柜指示灯是否点亮,debug_s18_step_c_ 3,,
4,4,2402,on,,观察变频传动单元控制柜操作面板是否点亮,debug_s18_step_c_ 4,,
5,5,2702,1,,合断路器Q1002,debug_s18_step_c_ 5,,
6,6,2704,1,,分别合断路器Q1041、Q1042 ,debug_s18_step_c_ 6,,
7,6,2705,1,,,,,
8,7,2706,1,,分别合断路器Q1043、Q1071、Q1072 ,debug_s18_step_c_ 7,,
9,7,2707,1,,,,,
10,7,2708,on,,,,,
11,8,2709,on,,分别合断路器Q5001、Q5002、Q5003、Q5004,debug_s18_step_c_ 8,,
12,8,2710,on,,,,,
13,8,2711,on,,,,,
14,8,2712,on,,,,,
15,9,2713,on,,分别合断路器Q5031、Q5032,debug_s18_step_c_ 9,,
16,9,2714,on,,,,,
