编号,步骤,item编号,检查状态,检查条件,中文描述,中文语音,英文描述,英文语音
m_index,m_step,m_id,m_state,m_condition,m_ch_txt,m_ch_voice,m_en_txt,m_en_voice
1,1,4001,nopart,,使用工具旋出排出吸入压帽，等待旋出后拿出工具，手柄碰触工具一段时间后可以取出工具,debug_s33_step_c 1,,
2,1,4009,0,,,,,
3,2,4002,nopart,,使用工具拉出吸入压盖,debug_s33_step_c 2,,
4,3,4007,0,,拿出工具，手柄碰触工具一段时间后可以取出工具,debug_s33_step_c 6,,
5,4,4010,0,,使用T形工具，把T形工具插入到弹簧底座上，把弹簧固定底座逆时针旋转九十度,debug_s33_step_c 7,,
6,5,4011,0,,手柄碰触工具一段时间后可以取出工具,debug_s33_step_c 8,,
7,6,4003,nopart,,拿出弹簧固定座,debug_s33_step_c 3,,
8,7,4004,nopart,,拿出弹簧,debug_s33_step_c 4,,
9,8,4005,nopart,,拿出阀盘,debug_s33_step_c 5,,
